product_key,product_name,product_category,product_subcategory,product_container,product_base_margin
303,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Furniture,Office Furnishings,Small Pack,0.49
304,Stockwell Push Pins,Office Supplies,Rubber Bands,Wrap Bag,0.52
305,8260,Technology,Telephones and Communication,Small Box,0.58
306,3390,Technology,Telephones and Communication,Small Box,0.57
307,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs & Chairmats,Jumbo Drum,0.56
308,Bevis 36 x 72 Conference Tables,Furniture,Tables,Jumbo Box,0.63
309,"Howard Miller 16"" Diameter Gallery Wall Clock",Furniture,Office Furnishings,Small Box,0.46
310,"ACCOHIDE 3-Ring Binder, Blue, 1""",Office Supplies,Binders and Binder Accessories,Small Box,0.38
311,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders and Binder Accessories,Small Box,0.39
312,Boston 1730 StandUp Electric Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.59
313,Accessory31,Technology,Telephones and Communication,Small Pack,0.35
314,Accessory8,Technology,Telephones and Communication,Small Pack,0.39
315,Fellowes Command Center 5-outlet power strip,Office Supplies,Appliances,Small Box,0.58
316,Accessory12,Technology,Telephones and Communication,Small Box,0.35
317,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,Chairs & Chairmats,Jumbo Drum,0.58
318,GBC DocuBind TL300 Electric Binding System,Office Supplies,Binders and Binder Accessories,Small Box,0.38
319,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Office Supplies,Binders and Binder Accessories,Small Box,0.39
320,TDK 4.7GB DVD-R,Technology,Computer Peripherals,Small Pack,0.41
321,Xerox 1977,Office Supplies,Paper,Small Box,0.37
322,DAX Solid Wood Frames,Furniture,Office Furnishings,Medium Box,0.48
323,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,Office Supplies,Appliances,Large Box,0.54
324,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Office Supplies,Appliances,Small Box,0.57
325,Multimedia Mailers,Office Supplies,Envelopes,Small Box,0.39
326,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Office Supplies,Envelopes,Small Box,0.35
327,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders and Binder Accessories,Small Box,0.36
328,"DXL Angle-View Binders with Locking Rings, Black",Office Supplies,Binders and Binder Accessories,Small Box,0.38
329,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.37
330,Laser & Ink Jet Business Envelopes,Office Supplies,Envelopes,Small Box,0.39
331,Okidata ML390 Turbo Dot Matrix Printers,Technology,Office Machines,Jumbo Drum,0.56
332,"Eldon Regeneration Recycled Desk Accessories, Smoke",Furniture,Office Furnishings,Small Pack,0.53
333,2160i,Technology,Telephones and Communication,Small Box,0.59
334,Global Deluxe High-Back Office Chair in Storm,Furniture,Chairs & Chairmats,Jumbo Drum,0.76
335,Canon MP100DHII Printing Calculator,Technology,Office Machines,Medium Box,0.37
336,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",Furniture,Office Furnishings,Small Box,0.54
337,Avery 51,Office Supplies,Labels,Small Box,0.39
338,Avery Poly Binder Pockets,Office Supplies,Binders and Binder Accessories,Small Box,0.37
339,"Dixon My First Ticonderoga Pencil, #2",Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
340,Acco Hot Clips Clips to Go,Office Supplies,Rubber Bands,Wrap Bag,0.4
341,Fiskars Softgrip Scissors,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.57
342,"Elite 5"" Scissors",Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.55
343,Avery 478,Office Supplies,Labels,Small Box,0.36
344,Boston 16701 Slimline Battery Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.55
345,"Soundgear Copyboard Conference Phone, Optional Battery",Technology,Office Machines,Medium Box,0.37
346,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Office Supplies,Labels,Small Box,0.36
347,Euro Pro Shark Stick Mini Vacuum,Office Supplies,Appliances,Large Box,0.59
348,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,Office Furnishings,Medium Box,0.65
349,Avery 498,Office Supplies,Labels,Small Box,0.38
350,Premium Transparent Presentation Covers by GBC,Office Supplies,Binders and Binder Accessories,Small Box,0.37
351,"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",Furniture,Tables,Jumbo Drum,0.59
352,GBC VeloBinder Electric Binding Machine,Office Supplies,Binders and Binder Accessories,Small Box,0.35
353,Brown Kraft Recycled Envelopes,Office Supplies,Envelopes,Small Box,0.35
354,A1228,Technology,Telephones and Communication,Small Box,0.58
355,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Furniture,Office Furnishings,Large Box,0.59
356,8290,Technology,Telephones and Communication,Small Box,0.6
357,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Technology,Office Machines,Jumbo Drum,0.4
358,Fellowes Neat Ideas Storage Cubes,Office Supplies,Storage & Organization,Large Box,0.81
359,"Lesro Round Back Collection Coffee Table, End Table",Furniture,Tables,Large Box,0.72
360,Avery 492,Office Supplies,Labels,Small Box,0.39
361,Newell 343,Office Supplies,Pens & Art Supplies,Wrap Bag,0.58
362,Canon S750 Color Inkjet Printer,Technology,Office Machines,Jumbo Drum,0.38
363,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.55
364,"AT&T Black Trimline Phone, Model 210",Technology,Office Machines,Small Box,0.49
365,Newell 318,Office Supplies,Pens & Art Supplies,Wrap Bag,0.59
366,"Staples Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,Pens & Art Supplies,Wrap Bag,0.4
367,Avery 491,Office Supplies,Labels,Small Box,0.39
368,T18,Technology,Telephones and Communication,Small Box,0.57
369,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Appliances,Jumbo Drum,0.59
370,Honeywell Quietcare HEPA Air Cleaner,Office Supplies,Appliances,Medium Box,0.52
371,Staples Colored Bar Computer Paper,Office Supplies,Paper,Small Box,0.38
372,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.59
373,Staples Battery-Operated Desktop Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.6
374,Eldon 200 Class Desk Accessories,Furniture,Office Furnishings,Small Box,0.53
375,"Memorex 80 Minute CD-R, 30/Pack",Technology,Computer Peripherals,Small Pack,0.46
376,"Dual Level, Single-Width Filing Carts",Office Supplies,Storage & Organization,Small Box,0.59
377,"Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum",Technology,Computer Peripherals,Small Box,0.68
378,"Master Giant Foot Doorstop, Safety Yellow",Furniture,Office Furnishings,Wrap Bag,0.42
379,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",Office Supplies,Storage & Organization,Small Box,0.68
380,Epson DFX-8500 Dot Matrix Printer,Technology,Office Machines,Jumbo Drum,0.57
381,Xerox 194,Office Supplies,Paper,Small Box,0.37
382,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Technology,Telephones and Communication,Medium Box,0.56
383,Avery 493,Office Supplies,Labels,Small Box,0.36
384,"Bevis Round Bullnose 29"" High Table Top",Furniture,Tables,Jumbo Box,0.61
385,Xerox 197,Office Supplies,Paper,Small Box,0.4
386,"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Office Furnishings,Small Box,0.56
387,Xerox 1935,Office Supplies,Paper,Small Box,0.39
388,Peel & Stick Add-On Corner Pockets,Office Supplies,Binders and Binder Accessories,Small Box,0.37
389,Eureka The Boss Cordless Rechargeable Stick Vac,Office Supplies,Appliances,Small Box,0.58
390,Xerox 1905,Office Supplies,Paper,Small Box,0.37
391,Fellowes Bankers Box Staxonsteel Drawer File/Stacking System,Office Supplies,Storage & Organization,Small Box,0.73
392,"Executive Impressions 13"" Clairmont Wall Clock",Furniture,Office Furnishings,Small Pack,0.44
393,Staples SlimLine Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.6
394,Presstex Flexible Ring Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.35
395,"Memorex 4.7GB DVD+RW, 3/Pack",Technology,Computer Peripherals,Small Pack,0.4
396,Eldon Image Series Black Desk Accessories,Furniture,Office Furnishings,Small Box,0.49
397,Avery 485,Office Supplies,Labels,Small Box,0.38
398,Global Adaptabilities Conference Tables,Furniture,Tables,Jumbo Box,0.78
399,Xerox 1885,Office Supplies,Paper,Small Box,0.37
400,Avery 479,Office Supplies,Labels,Small Box,0.39
401,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Office Supplies,Binders and Binder Accessories,Small Box,0.4
402,Eldon Pizzaz Desk Accessories,Furniture,Office Furnishings,Small Pack,0.41
403,Talkabout T8367,Technology,Telephones and Communication,Small Box,0.56
404,Logitech Access Keyboard,Technology,Computer Peripherals,Small Box,0.37
405,"Fellowes Strictly Business Drawer File, Letter/Legal Size",Office Supplies,Storage & Organization,Small Box,0.73
406,Newell 336,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
407,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Office Supplies,Appliances,Small Box,0.56
408,GBC DocuBind P100 Manual Binding Machine,Office Supplies,Binders and Binder Accessories,Small Box,0.4
409,Avery 497,Office Supplies,Labels,Small Box,0.37
410,SAFCO Folding Chair Trolley,Furniture,Chairs & Chairmats,Medium Box,0.6
411,"Manila Recycled Extra-Heavyweight Clasp Envelopes, 6"" x 9""",Office Supplies,Envelopes,Small Box,0.36
412,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Technology,Computer Peripherals,Small Pack,0.5
413,Keytronic Designer 104- Key Black Keyboard,Technology,Computer Peripherals,Small Box,0.77
414,Avanti 4.4 Cu. Ft. Refrigerator,Office Supplies,Appliances,Jumbo Drum,0.57
415,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Office Supplies,Binders and Binder Accessories,Small Box,0.36
416,Boston KS Multi-Size Manual Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.57
417,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",Office Supplies,Pens & Art Supplies,Small Pack,0.58
418,Martin-Yale Premier Letter Opener,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,0.82
419,Recycled Premium Regency Composition Covers,Office Supplies,Binders and Binder Accessories,Small Box,0.36
420,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Jumbo Box,0.55
421,i1000,Technology,Telephones and Communication,Small Box,0.58
422,Fellowes Super Stor/Drawer,Office Supplies,Storage & Organization,Small Box,0.67
423,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Furniture,Office Furnishings,Medium Box,0.69
424,*Staples* Letter Opener,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,0.81
425,LX 677,Technology,Telephones and Communication,Small Box,0.57
426,Avery Hi-Liter Fluorescent Desk Style Markers,Office Supplies,Pens & Art Supplies,Wrap Bag,0.48
427,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Office Supplies,Envelopes,Small Box,0.38
428,Acco Suede Grain Vinyl Round Ring Binder,Office Supplies,Binders and Binder Accessories,Small Box,0.39
429,Newell 342,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
430,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",Office Supplies,Envelopes,Small Box,0.39
431,Newell 337,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
432,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Technology,Computer Peripherals,Small Box,0.45
433,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Office Furnishings,Medium Box,0.74
434,Xerox 1985,Office Supplies,Paper,Small Box,0.37
435,Zoom V.92 V.44 PCI Internal Controllerless FaxModem,Technology,Computer Peripherals,Small Box,0.55
436,"Tennsco Lockers, Sand",Office Supplies,Storage & Organization,Jumbo Drum,0.61
437,Xerox 1920,Office Supplies,Paper,Small Box,0.4
438,Xerox 1928,Office Supplies,Paper,Small Box,0.4
439,Xerox 1939,Office Supplies,Paper,Small Box,0.37
440,StarTAC 7760,Technology,Telephones and Communication,Small Box,0.59
441,Magna Visual Magnetic Picture Hangers,Furniture,Office Furnishings,Small Pack,0.47
442,M3682,Technology,Telephones and Communication,Small Box,0.57
443,Xerox 1978,Office Supplies,Paper,Small Box,0.36
444,"Wirebound Message Book, 4 per Page",Office Supplies,Paper,Wrap Bag,0.36
445,Hoover WindTunnel Plus Canister Vacuum,Office Supplies,Appliances,Small Box,0.57
446,Zoom V.92 USB External Faxmodem,Technology,Computer Peripherals,Small Box,0.41
447,"Wilson Jones Ledger-Size, Piano-Hinge Binder, 2"", Blue",Office Supplies,Binders and Binder Accessories,Small Box,0.37
448,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Furniture,Office Furnishings,Small Box,0.57
449,Xerox 1992,Office Supplies,Paper,Small Box,0.36
450,TI 36X Solar Scientific Calculator,Technology,Office Machines,Medium Box,0.38
451,V 3600 Series,Technology,Telephones and Communication,Small Box,0.58
452,"Deflect-o EconoMat Nonstudded, No Bevel Mat",Furniture,Office Furnishings,Medium Box,0.65
453,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables,Jumbo Box,0.66
454,Hon 5100 Series Wood Tables,Furniture,Tables,Large Box,0.67
455,Belkin ErgoBoard Keyboard,Technology,Computer Peripherals,Small Box,0.64
456,Riverleaf Stik-Withit Designer Note Cubes,Office Supplies,Paper,Wrap Bag,0.39
457,Coloredge Poster Frame,Furniture,Office Furnishings,Wrap Bag,0.46
458,Sharp 1540cs Digital Laser Copier,Technology,Copiers and Fax,Jumbo Drum,0.35
459,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,Jumbo Drum,0.41
460,Wilson Jones Impact Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.36
461,GBC DocuBind 200 Manual Binding Machine,Office Supplies,Binders and Binder Accessories,Small Box,0.35
462,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",Furniture,Office Furnishings,Small Box,0.42
463,Sanford Liquid Accent Highlighters,Office Supplies,Pens & Art Supplies,Wrap Bag,0.48
464,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,Office Supplies,Appliances,Medium Box,0.42
465,Hon iLevel Computer Training Table,Furniture,Tables,Jumbo Box,0.65
466,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Office Furnishings,Small Box,0.43
467,3M Hangers With Command Adhesive,Furniture,Office Furnishings,Wrap Bag,0.44
468,X-Rack File for Hanging Folders,Office Supplies,Storage & Organization,Small Box,0.59
469,688,Technology,Telephones and Communication,Small Box,0.6
470,Ibico EB-19 Dual Function Manual Binding System,Office Supplies,Binders and Binder Accessories,Small Box,0.39
471,Southworth 25% Cotton Premium Laser Paper and Envelopes,Office Supplies,Paper,Small Box,0.37
472,Safco Contoured Stacking Chairs,Furniture,Chairs & Chairmats,Large Box,0.6
473,Canon PC-428 Personal Copier,Technology,Copiers and Fax,Large Box,0.46
474,Staples Standard Envelopes,Office Supplies,Envelopes,Small Box,0.38
475,Lexmark Z55se Color Inkjet Printer,Technology,Office Machines,Jumbo Drum,0.38
476,Binder Clips by OIC,Office Supplies,Rubber Bands,Wrap Bag,0.37
477,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",Office Supplies,Appliances,Small Box,0.57
478,Wausau Papers Astrobrights Colored Envelopes,Office Supplies,Envelopes,Small Box,0.36
479,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,Binders and Binder Accessories,Small Box,0.38
480,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers and Fax,Large Box,0.37
481,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Furniture,Tables,Jumbo Box,0.8
482,KF 788,Technology,Telephones and Communication,Small Box,0.56
483,"Imation Neon Mac Format Diskettes, 10/Pack",Technology,Computer Peripherals,Small Pack,0.77
484,2180,Technology,Telephones and Communication,Small Box,0.57
485,"Executive Impressions 14"" Contract Wall Clock",Furniture,Office Furnishings,Small Pack,0.52
486,*Staples* Highlighting Markers,Office Supplies,Pens & Art Supplies,Wrap Bag,0.52
487,Boston 19500 Mighty Mite Electric Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.58
488,Xerox 1995,Office Supplies,Paper,Small Box,0.37
489,Self-Adhesive Ring Binder Labels,Office Supplies,Binders and Binder Accessories,Small Box,0.38
490,Catalog Binders with Expanding Posts,Office Supplies,Binders and Binder Accessories,Small Box,0.4
491,*Staples* Packaging Labels,Office Supplies,Labels,Small Box,0.38
492,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Furniture,Office Furnishings,Medium Box,0.76
493,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Office Supplies,Paper,Wrap Bag,0.39
494,9-3/4 Diameter Round Wall Clock,Furniture,Office Furnishings,Small Box,0.43
495,Logitech Cordless Elite Duo,Technology,Computer Peripherals,Small Box,0.4
496,Xerox 220,Office Supplies,Paper,Small Box,0.37
497,Canon Image Class D660 Copier,Technology,Copiers and Fax,Large Box,0.44
498,Avery Legal 4-Ring Binder,Office Supplies,Binders and Binder Accessories,Small Box,0.35
499,Hoover Commercial Lightweight Upright Vacuum,Office Supplies,Appliances,Large Box,0.59
500,Colored Envelopes,Office Supplies,Envelopes,Small Box,0.39
501,Xerox 1953,Office Supplies,Paper,Small Box,0.4
502,DAX Natural Wood-Tone Poster Frame,Furniture,Office Furnishings,Small Box,0.49
503,Office Star Flex Back Scooter Chair with White Frame,Furniture,Chairs & Chairmats,Jumbo Drum,0.71
504,Xerox 1941,Office Supplies,Paper,Small Box,0.37
505,DAX Clear Channel Poster Frame,Furniture,Office Furnishings,Small Box,0.48
506,Tenex B1-RE Series Chair Mats for Low Pile Carpets,Furniture,Office Furnishings,Wrap Bag,0.68
507,Belkin 105-Key Black Keyboard,Technology,Computer Peripherals,Small Box,0.68
508,GBC Imprintable Covers,Office Supplies,Binders and Binder Accessories,Small Box,0.36
509,"GBC Laser Imprintable Binding System Covers, Desert Sand",Office Supplies,Binders and Binder Accessories,Small Box,0.38
510,"Sharp EL501VB Scientific Calculator, Battery Operated, 10-Digit Display, Hard Case",Technology,Office Machines,Medium Box,0.39
511,"Executive Impressions 14""",Furniture,Office Furnishings,Small Pack,0.41
512,Accessory2,Technology,Telephones and Communication,Small Pack,0.55
513,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Paper,Small Box,0.4
514,"Eldon 400 Class Desk Accessories, Black Carbon",Furniture,Office Furnishings,Small Pack,0.43
515,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Paper,Wrap Bag,0.35
516,Bretford ÒJust In TimeÓ Height-Adjustable Multi-Task Work Tables,Furniture,Tables,Jumbo Box,0.79
517,"Array Parchment Paper, Assorted Colors",Office Supplies,Paper,Small Box,0.37
518,Avery Durable Poly Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.39
519,Dana Swing-Arm Lamps,Furniture,Office Furnishings,Large Box,0.6
520,270c,Technology,Telephones and Communication,Small Box,0.59
521,T28 WORLD,Technology,Telephones and Communication,Small Box,0.6
522,Staples Premium Bright 1-Part Blank Computer Paper,Office Supplies,Paper,Small Box,0.38
523,"Hon Metal Bookcases, Black",Furniture,Bookcases,Jumbo Box,0.6
524,"24 Capacity Maxi Data Binder Racks, Pearl",Office Supplies,Storage & Organization,Small Box,0.6
525,Accessory17,Technology,Telephones and Communication,Wrap Bag,0.82
526,Xerox 1898,Office Supplies,Paper,Small Box,0.37
527,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",Furniture,Tables,Jumbo Drum,0.56
528,ACCOHIDE Binder by Acco,Office Supplies,Binders and Binder Accessories,Small Box,0.38
529,Eldon Executive Woodline II Cherry Finish Desk Accessories,Furniture,Office Furnishings,Small Box,0.57
530,Belkin 8 Outlet Surge Protector,Office Supplies,Appliances,Small Box,0.57
531,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Office Supplies,Appliances,Small Box,0.43
532,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,Paper,Wrap Bag,0.38
533,Fellowes Super Stor/Drawer Files,Office Supplies,Storage & Organization,Small Box,0.66
534,Logitech Cordless Navigator Duo,Technology,Computer Peripherals,Small Box,0.48
535,Sharp EL500L Fraction Calculator,Technology,Office Machines,Medium Box,0.39
536,White GlueTop Scratch Pads,Office Supplies,Paper,Wrap Bag,0.39
537,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Office Supplies,Appliances,Small Box,0.59
538,Cardinal Holdit Business Card Pockets,Office Supplies,Binders and Binder Accessories,Small Box,0.37
539,T193,Technology,Telephones and Communication,Small Box,0.57
540,Tennsco Commercial Shelving,Office Supplies,Storage & Organization,Large Box,0.84
541,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Furniture,Chairs & Chairmats,Jumbo Drum,0.61
542,Accessory13,Technology,Telephones and Communication,Small Pack,0.57
543,Xerox 1976,Office Supplies,Paper,Small Box,0.37
544,Hon 2090 ÒPillow SoftÓ Series Mid Back Swivel/Tilt Chairs,Furniture,Chairs & Chairmats,Jumbo Drum,0.78
545,Hammermill Color Copier Paper (28Lb. and 96 Bright),Office Supplies,Paper,Small Box,0.4
546,Serrated Blade or Curved Handle Hand Letter Openers,Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,0.84
547,"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",Furniture,Office Furnishings,Small Pack,0.35
548,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Office Supplies,Paper,Wrap Bag,0.4
549,Xerox 1989,Office Supplies,Paper,Small Box,0.38
550,"Bush Westfield Collection Bookcases, Fully Assembled",Furniture,Bookcases,Jumbo Box,0.62
551,Nu-Dell Leatherette Frames,Furniture,Office Furnishings,Small Pack,0.49
552,Xerox 1994,Office Supplies,Paper,Small Box,0.37
553,Dixon Ticonderoga Core-Lock Colored Pencils,Office Supplies,Pens & Art Supplies,Wrap Bag,0.52
554,CF 688,Technology,Telephones and Communication,Small Box,0.58
555,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Office Supplies,Pens & Art Supplies,Small Pack,0.56
556,3285,Technology,Telephones and Communication,Small Box,0.59
557,Office Star - Task Chair with Contemporary Loop Arms,Furniture,Chairs & Chairmats,Jumbo Drum,0.61
558,Acco Perma 3000 Stacking Storage Drawers,Office Supplies,Storage & Organization,Small Box,0.66
559,"Imation Printable White 80 Minute CD-R Spindle, 50/Pack",Technology,Computer Peripherals,Small Pack,0.44
560,Eldon Gobal File Keepers,Office Supplies,Storage & Organization,Small Box,0.81
561,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,Small Box,0.55
562,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Office Furnishings,Small Box,0.54
563,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Furniture,Office Furnishings,Wrap Bag,0.78
564,Bretford Rectangular Conference Table Tops,Furniture,Tables,Jumbo Box,0.74
565,Wirebound Voice Message Log Book,Office Supplies,Paper,Wrap Bag,0.39
566,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,Furniture,Bookcases,Jumbo Box,0.74
567,Novimex Swivel Fabric Task Chair,Furniture,Chairs & Chairmats,Jumbo Drum,0.74
568,"Imation Primaris 3.5"" 2HD Unformatted Diskettes, 10/Pack",Technology,Computer Peripherals,Small Pack,0.72
569,Project Tote Personal File,Office Supplies,Storage & Organization,Small Box,0.56
570,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Technology,Computer Peripherals,Small Pack,0.68
571,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,Pens & Art Supplies,Wrap Bag,0.55
572,Xerox 1899,Office Supplies,Paper,Small Box,0.36
573,"Imation IBM Formatted Diskettes, 100/Pack",Technology,Computer Peripherals,Small Pack,0.7
574,Barrel Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.59
575,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Storage & Organization,Small Box,0.81
576,Accessory34,Technology,Telephones and Communication,Wrap Bag,0.55
577,"Panasonic All Digital Answering System with Caller ID*, KX-TM150B",Technology,Telephones and Communication,Medium Box,0.6
578,Wilson Jones Four-Pocket Poly Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.36
579,Economy Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.36
580,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Furniture,Chairs & Chairmats,Jumbo Drum,0.62
581,Eldon Jumbo ProFile Portable File Boxes Graphite/Black,Office Supplies,Storage & Organization,Small Box,0.57
582,Newell 315,Office Supplies,Pens & Art Supplies,Wrap Bag,0.6
583,Kleencut Forged Office Shears by Acme United Corporation,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.55
584,Xerox 1983,Office Supplies,Paper,Small Box,0.36
585,T61,Technology,Telephones and Communication,Small Box,0.56
586,Xerox 196,Office Supplies,Paper,Small Box,0.36
587,Eldon Simplefile Box Office,Office Supplies,Storage & Organization,Medium Box,0.57
588,6190,Technology,Telephones and Communication,Small Box,0.55
589,Panasonic KX-P3200 Dot Matrix Printer,Technology,Office Machines,Jumbo Drum,0.57
590,Ibico Recycled Linen-Style Covers,Office Supplies,Binders and Binder Accessories,Small Box,0.37
591,1726 Digital Answering Machine,Technology,Telephones and Communication,Medium Box,0.58
592,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Furniture,Office Furnishings,Small Pack,0.51
593,Belkin MediaBoard 104- Keyboard,Technology,Computer Peripherals,Small Box,0.75
594,"Executive Impressions 12"" Wall Clock",Furniture,Office Furnishings,Small Pack,0.47
595,6185,Technology,Telephones and Communication,Small Box,0.58
596,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Office Supplies,Pens & Art Supplies,Wrap Bag,0.54
597,Xerox 1993,Office Supplies,Paper,Small Box,0.36
598,"Strathmore #10 Envelopes, Ultimate White",Office Supplies,Envelopes,Small Box,0.36
599,Fellowes 8 Outlet Superior Workstation Surge Protector,Office Supplies,Appliances,Small Box,0.56
600,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Office Supplies,Envelopes,Small Box,0.38
601,Accessory20,Technology,Telephones and Communication,Small Pack,0.37
602,5165,Technology,Telephones and Communication,Small Box,0.59
603,Lexmark Z54se Color Inkjet Printer,Technology,Office Machines,Jumbo Drum,0.36
604,"Premier Elliptical Ring Binder, Black",Office Supplies,Binders and Binder Accessories,Small Box,0.37
605,Avery 520,Office Supplies,Labels,Small Box,0.37
606,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Office Supplies,Appliances,Small Box,0.59
607,Xerox 226,Office Supplies,Paper,Small Box,0.37
608,Sanford 52201 APSCO Electric Pencil Sharpener,Office Supplies,Pens & Art Supplies,Small Pack,0.59
