customer_key,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total,segment
521,616,4,23227.850000000002,1,2,4,7,Lost / Churned
522,92,5,27898.8725,4,2,4,10,New / Promising
523,68,9,13080.812,4,4,3,11,Loyal Customers
524,641,3,4327.8555,1,1,1,3,Lost / Churned
525,373,2,3226.9795,2,1,1,4,Lost / Churned
526,282,5,14132.98,2,2,3,7,Lost / Churned
527,273,4,2074.56,2,2,1,5,Lost / Churned
528,172,7,23058.260000000002,3,4,4,11,Needs Attention
529,88,10,29810.989999999998,4,5,5,14,Champions
530,513,2,5761.31,1,1,1,3,Lost / Churned
531,258,6,12873.3755,2,3,3,8,Needs Attention
532,3,11,19002.9675,5,5,4,14,Champions
533,390,3,8608.35,1,1,2,4,Lost / Churned
534,250,4,4208.048000000001,2,2,1,5,Lost / Churned
535,247,6,10295.92,2,3,2,7,Needs Attention
536,552,5,21475.2185,1,2,4,7,Lost / Churned
537,409,4,1661.21,1,2,1,4,Lost / Churned
538,93,9,26184.5915,4,4,4,12,Champions
539,247,10,63189.95,2,5,5,12,At Risk (High Value)
540,153,6,21108.357500000002,3,3,4,10,Needs Attention
541,69,8,9358.584499999999,4,4,2,10,Loyal Customers
542,268,5,23310.87,2,2,4,8,Lost / Churned
543,358,4,15895.72,2,2,3,7,Lost / Churned
544,202,5,44571.925,3,2,5,10,Needs Attention
545,749,4,16337.61,1,2,3,6,Lost / Churned
546,12,6,6832.89,5,3,2,10,Loyal Customers
547,110,4,15285.53,4,2,3,9,New / Promising
548,605,4,22455.0155,1,2,4,7,Lost / Churned
549,1024,4,15540.07,1,2,3,6,Lost / Churned
550,19,5,13433.4105,5,2,3,10,New / Promising
551,33,13,42314.597499999996,5,5,5,15,Champions
552,170,4,3194.0299999999997,3,2,1,6,Needs Attention
553,2,19,48398.567,5,5,5,15,Champions
554,51,17,35186.024,5,5,5,15,Champions
555,142,6,24491.428,3,3,4,10,Needs Attention
556,276,5,15785.506499999998,2,2,3,7,Lost / Churned
557,155,6,14075.318500000001,3,3,3,9,Needs Attention
558,258,8,32279.0255,2,4,5,11,At Risk (High Value)
559,272,10,22803.96,2,5,4,11,At Risk (High Value)
560,437,3,3600.1440000000002,1,1,1,3,Lost / Churned
561,304,13,16010.503499999999,2,5,3,10,Needs Attention
562,518,6,4138.4285,1,3,1,5,Needs Attention
563,510,2,8451.078,1,1,2,4,Lost / Churned
564,92,4,2521.81,4,2,1,7,New / Promising
565,110,3,8598.7135,4,1,2,7,New / Promising
566,439,3,8520.4,1,1,2,4,Lost / Churned
567,54,8,42872.99,5,4,5,14,Champions
568,33,3,1635.65,5,1,1,7,New / Promising
569,218,15,22513.17,2,5,4,11,At Risk (High Value)
570,24,22,75802.76,5,5,5,15,Champions
571,99,11,39517.0705,4,5,5,14,Champions
572,104,7,14089.9085,4,4,3,11,Loyal Customers
573,278,6,17969.387000000002,2,3,3,8,Needs Attention
574,136,7,7052.120000000001,3,4,2,9,Needs Attention
575,733,3,24129.84,1,1,4,6,Lost / Churned
576,262,12,22675.454999999998,2,5,4,11,At Risk (High Value)
577,233,10,26407.6725,2,5,4,11,At Risk (High Value)
578,127,5,15077.853,3,2,3,8,Needs Attention
579,69,12,23111.3105,4,5,4,13,Champions
580,826,4,5602.6345,1,2,1,4,Lost / Churned
581,42,4,19018.65,5,2,4,11,New / Promising
582,21,12,31042.314,5,5,5,15,Champions
583,401,7,20241.5,1,4,4,9,At Risk (High Value)
584,29,6,8069.1415,5,3,2,10,Loyal Customers
585,284,5,19836.305,2,2,4,8,Lost / Churned
586,138,5,12877.18,3,2,3,8,Needs Attention
587,7,4,555.82,5,2,1,8,New / Promising
588,190,5,6329.3885,3,2,2,7,Needs Attention
589,947,1,3681.7495,1,1,1,3,Lost / Churned
590,152,4,7300.165999999999,3,2,2,7,Needs Attention
591,34,5,27256.4905,5,2,4,11,New / Promising
592,354,6,3193.9425,2,3,1,6,Needs Attention
593,169,8,29898.234500000002,3,4,5,12,Needs Attention
594,161,4,928.0025,3,2,1,6,Needs Attention
595,60,11,21771.254,5,5,4,14,Champions
596,1095,2,26209.65,1,1,4,6,Lost / Churned
597,227,4,3821.6980000000003,2,2,1,5,Lost / Churned
598,386,5,6922.817,1,2,2,5,Lost / Churned
599,14,3,1896.7,5,1,1,7,New / Promising
600,125,4,4159.3485,3,2,1,6,Needs Attention
601,476,6,10820.539999999999,1,3,2,6,Needs Attention
602,36,3,5186.99,5,1,1,7,New / Promising
603,61,4,12998.33,4,2,3,9,New / Promising
604,204,11,28834.656,3,5,5,13,Needs Attention
605,320,4,4873.847,2,2,1,5,Lost / Churned
606,15,8,8085.06,5,4,2,11,Loyal Customers
607,92,8,22648.883,4,4,4,12,Champions
608,382,4,3980.79,1,2,1,4,Lost / Churned
609,113,7,18434.280000000002,4,4,3,11,Loyal Customers
610,209,7,22570.3775,3,4,4,11,Needs Attention
611,7,3,4697.7235,5,1,1,7,New / Promising
612,61,4,5215.4400000000005,4,2,1,7,New / Promising
613,99,6,20704.2195,4,3,4,11,Loyal Customers
614,126,4,1722.5100000000002,3,2,1,6,Needs Attention
615,98,4,781.02,4,2,1,7,New / Promising
616,353,11,54715.744,2,5,5,12,At Risk (High Value)
617,240,6,6401.41,2,3,2,7,Needs Attention
618,171,7,30525.550000000003,3,4,5,12,Needs Attention
619,821,8,11427.09,1,4,2,7,Needs Attention
620,504,3,5709.4845000000005,1,1,1,3,Lost / Churned
621,143,6,18407.059999999998,3,3,3,9,Needs Attention
622,11,15,38872.590000000004,5,5,5,15,Champions
623,9,10,9250.624,5,5,2,12,Loyal Customers
624,98,5,18129.8615,4,2,3,9,New / Promising
625,491,3,9426.5,1,1,2,4,Lost / Churned
626,141,13,23835.046000000002,3,5,4,12,Needs Attention
627,97,9,26405.7275,4,4,4,12,Champions
628,998,2,7570.142,1,1,2,4,Lost / Churned
629,568,7,14815.813,1,4,3,8,Needs Attention
630,22,4,19406.442000000003,5,2,4,11,New / Promising
631,21,4,9900.2845,5,2,2,9,New / Promising
632,23,6,6043.025000000001,5,3,2,10,Loyal Customers
633,727,4,10922.702,1,2,2,5,Lost / Churned
634,276,9,33055.1975,2,4,5,11,At Risk (High Value)
635,656,2,8502.271999999999,1,1,2,4,Lost / Churned
636,1,7,10653.8195,5,4,2,11,Loyal Customers
637,281,10,20006.713,2,5,4,11,At Risk (High Value)
638,362,3,13864.7975,2,1,3,6,Lost / Churned
639,385,1,450.99,1,1,1,3,Lost / Churned
640,181,7,4984.61,3,4,1,8,Needs Attention
641,8,4,11783.849999999999,5,2,2,9,New / Promising
642,155,8,19448.710499999997,3,4,4,11,Needs Attention
643,852,2,153.03,1,1,1,3,Lost / Churned
644,117,8,21327.178,4,4,4,12,Champions
645,154,6,9169.238,3,3,2,8,Needs Attention
646,92,8,45458.407,4,4,5,13,Champions
647,379,10,22097.627500000002,2,5,4,11,At Risk (High Value)
648,521,9,27483.391,1,4,4,9,At Risk (High Value)
649,45,6,8024.3595,5,3,2,10,Loyal Customers
650,247,6,25264.15,2,3,4,9,Needs Attention
651,2,7,11314.66,5,4,2,11,Loyal Customers
652,494,3,1563.7075,1,1,1,3,Lost / Churned
653,264,9,16967.415,2,4,3,9,Needs Attention
654,20,14,37345.1535,5,5,5,15,Champions
655,287,4,14006.923999999999,2,2,3,7,Lost / Churned
656,200,7,21422.0875,3,4,4,11,Needs Attention
657,149,11,30928.836499999998,3,5,5,13,Needs Attention
658,56,9,12282.804,5,4,3,12,Loyal Customers
659,523,3,471.81000000000006,1,1,1,3,Lost / Churned
660,79,11,21372.9775,4,5,4,13,Champions
661,234,2,4039.1000000000004,2,1,1,4,Lost / Churned
662,152,6,14278.497,3,3,3,9,Needs Attention
663,224,1,41343.21,2,1,5,8,Lost / Churned
664,201,4,15715.4345,3,2,3,8,Needs Attention
665,160,11,27762.451999999997,3,5,4,12,Needs Attention
666,77,8,17624.8235,4,4,3,11,Loyal Customers
667,287,5,11853.5175,2,2,3,7,Lost / Churned
668,318,6,29497.484,2,3,5,10,Needs Attention
669,16,8,10884.82,5,4,2,11,Loyal Customers
670,83,11,13576.1455,4,5,3,12,Loyal Customers
671,264,4,4531.912,2,2,1,5,Lost / Churned
672,318,5,13049.6585,2,2,3,7,Lost / Churned
673,37,3,2556.21,5,1,1,7,New / Promising
674,139,5,7103.9495,3,2,2,7,Needs Attention
675,887,1,617.92,1,1,1,3,Lost / Churned
676,176,9,11626.160000000002,3,4,2,9,Needs Attention
677,324,7,13089.786,2,4,3,9,Needs Attention
678,239,5,25136.309999999998,2,2,4,8,Lost / Churned
679,216,5,6232.9,2,2,2,6,Lost / Churned
680,222,9,20332.1235,2,4,4,10,At Risk (High Value)
681,353,7,9516.262999999999,2,4,2,8,Needs Attention
682,380,5,11498.087,1,2,2,5,Lost / Churned
683,62,16,26205.389499999997,4,5,4,13,Champions
684,626,6,4784.589999999999,1,3,1,5,Needs Attention
685,267,4,8989.49,2,2,2,6,Lost / Churned
686,407,4,15287.673,1,2,3,6,Lost / Churned
687,452,3,24125.39,1,1,4,6,Lost / Churned
688,308,6,2157.49,2,3,1,6,Needs Attention
689,1,12,32331.5135,5,5,5,15,Champions
690,268,8,17932.791,2,4,3,9,Needs Attention
691,616,7,5371.4,1,4,1,6,Needs Attention
692,68,9,45365.7505,4,4,5,13,Champions
693,1041,3,6044.71,1,1,2,4,Lost / Churned
694,327,8,15647.49,2,4,3,9,Needs Attention
695,123,4,6410.46,3,2,2,7,Needs Attention
696,66,6,13096.347,4,3,3,10,Loyal Customers
697,157,7,23187.8,3,4,4,11,Needs Attention
698,280,6,18937.420000000002,2,3,4,9,Needs Attention
699,6,14,27261.8975,5,5,4,14,Champions
700,49,7,23000.75,5,4,4,13,Champions
701,141,8,15314.538499999999,3,4,3,10,Needs Attention
702,123,8,12567.57,3,4,3,10,Needs Attention
703,143,4,3592.922,3,2,1,6,Needs Attention
704,120,3,1310.385,3,1,1,5,Needs Attention
705,636,5,16004.68,1,2,3,6,Lost / Churned
706,514,8,3948.658,1,4,1,6,Needs Attention
707,263,2,5395.09,2,1,1,4,Lost / Churned
708,20,18,26114.2645,5,5,4,14,Champions
709,121,5,2804.93,3,2,1,6,Needs Attention
710,62,7,12916.309,4,4,3,11,Loyal Customers
711,317,10,40030.8255,2,5,5,12,At Risk (High Value)
712,39,8,7428.2390000000005,5,4,2,11,Loyal Customers
713,203,7,11081.0615,3,4,2,9,Needs Attention
714,278,10,30495.554,2,5,5,12,At Risk (High Value)
715,305,2,459.93,2,1,1,4,Lost / Churned
716,358,5,11861.511999999999,2,2,3,7,Lost / Churned
717,192,5,4967.58,3,2,1,6,Needs Attention
718,16,8,6987.7705,5,4,2,11,Loyal Customers
719,90,4,16834.37,4,2,3,9,New / Promising
720,266,10,19614.363,2,5,4,11,At Risk (High Value)
721,67,8,25402.173000000003,4,4,4,12,Champions
722,398,5,2209.332,1,3,1,5,Needs Attention
723,70,7,13624.053,4,4,3,11,Loyal Customers
724,126,6,12331.7925,3,3,3,9,Needs Attention
725,69,8,46672.009,4,4,5,13,Champions
726,26,5,30369.789999999997,5,3,5,13,Loyal Customers
727,302,4,40839.29,2,2,5,9,Lost / Churned
728,689,3,12422.871,1,1,3,5,Lost / Churned
729,410,2,5062.991999999999,1,1,1,3,Lost / Churned
730,875,4,14156.22,1,2,3,6,Lost / Churned
731,714,2,350.18,1,1,1,3,Lost / Churned
732,881,2,604.79,1,1,1,3,Lost / Churned
733,538,2,415.82000000000005,1,1,1,3,Lost / Churned
734,20,6,9930.7515,5,3,2,10,Loyal Customers
735,85,9,20464.268,4,4,4,12,Champions
736,333,5,8006.9605,2,3,2,7,Needs Attention
737,259,8,25643.8315,2,4,4,10,At Risk (High Value)
738,37,15,34621.9395,5,5,5,15,Champions
739,694,7,13256.2455,1,4,3,8,Needs Attention
740,67,10,33418.649,4,5,5,14,Champions
741,330,6,16694.448,2,3,3,8,Needs Attention
742,659,3,1533.01,1,1,1,3,Lost / Churned
743,10,8,20346.156000000003,5,4,4,13,Champions
744,747,7,23653.516499999998,1,4,4,9,At Risk (High Value)
745,277,9,18598.788,2,4,3,9,Needs Attention
746,258,6,20742.67,2,3,4,9,Needs Attention
747,42,7,33139.6535,5,4,5,14,Champions
748,437,9,12748.137999999999,1,4,3,8,Needs Attention
749,797,3,4735.263999999999,1,1,1,3,Lost / Churned
750,93,8,25530.4675,4,4,4,12,Champions
751,20,4,21138.760000000002,5,2,4,11,New / Promising
752,23,3,3489.29,5,1,1,7,New / Promising
753,1234,2,16178.89,1,1,3,5,Lost / Churned
754,46,6,11459.3025,5,3,2,10,Loyal Customers
755,91,8,48521.1685,4,4,5,13,Champions
756,312,3,20914.09,2,1,4,7,Lost / Churned
757,64,10,38698.7895,4,5,5,14,Champions
758,1243,1,1219.2485,1,1,1,3,Lost / Churned
759,425,1,2484.7455,1,1,1,3,Lost / Churned
760,131,5,10086.07,3,3,2,8,Needs Attention
761,124,10,17557.869,3,5,3,11,Needs Attention
762,78,8,50378.1595,4,4,5,13,Champions
763,508,10,20059.6755,1,5,4,10,At Risk (High Value)
764,146,6,35679.28,3,3,5,11,Needs Attention
765,74,7,10719.979,4,4,2,10,Loyal Customers
766,5,8,7813.323,5,4,2,11,Loyal Customers
767,362,5,15672.391500000002,2,3,3,8,Needs Attention
768,308,6,8867.9435,2,3,2,7,Needs Attention
769,31,6,10921.692000000001,5,3,2,10,Loyal Customers
770,79,4,2985.56,4,2,1,7,New / Promising
771,217,2,23088.5345,2,1,4,7,Lost / Churned
772,61,7,4412.021,4,4,1,9,Loyal Customers
773,163,3,1948.8899999999999,3,1,1,5,Needs Attention
774,257,7,12924.486,2,4,3,9,Needs Attention
775,282,12,35110.0595,2,5,5,12,At Risk (High Value)
776,265,3,1167.03,2,1,1,4,Lost / Churned
777,88,11,24029.357500000002,4,5,4,13,Champions
778,144,6,3607.58,3,3,1,7,Needs Attention
779,22,7,14490.0185,5,4,3,12,Loyal Customers
780,726,1,1029.47,1,1,1,3,Lost / Churned
781,574,2,180.76000000000002,1,1,1,3,Lost / Churned
782,237,7,46399.438,2,4,5,11,At Risk (High Value)
783,100,12,46546.165,4,5,5,14,Champions
784,65,5,42255.168000000005,4,3,5,12,Loyal Customers
785,74,7,10535.318,4,4,2,10,Loyal Customers
786,59,11,70426.59,5,5,5,15,Champions
787,316,5,16282.756500000001,2,3,3,8,Needs Attention
788,33,6,25071.544,5,3,4,12,Loyal Customers
789,106,11,45788.67,4,5,5,14,Champions
790,119,8,9465.976,3,4,2,9,Needs Attention
791,319,3,2310.23,2,1,1,4,Lost / Churned
792,252,4,27672.440000000002,2,2,4,8,Lost / Churned
793,140,8,9011.42,3,4,2,9,Needs Attention
794,35,5,4615.54,5,3,1,9,Loyal Customers
795,175,3,11194.87,3,1,2,6,Needs Attention
